,p,d,q,P,D,Q,m,RMSE_train,RMSE_test
0,0,1,1,0,1,1,12,61.292043326265116,58.447843095483215
1,0,1,1,1,1,1,12,60.270597356008075,67.29519618362082
2,0,1,2,0,1,1,12,63.54355311748686,42.22333605069826
3,0,1,2,1,1,1,12,61.5256235427403,42.26676564318175
4,1,1,1,0,1,1,12,64.77800183793369,29.026602581485616
5,1,1,1,1,1,1,12,62.97571572787495,37.27507679276029
6,1,1,2,0,1,1,12,64.53343893719357,29.33558635290465
7,1,1,2,1,1,1,12,64.41377772763501,38.853086982181985
8,2,1,1,0,1,1,12,64.45382736954053,29.44015785335965
9,2,1,1,1,1,1,12,65.44319686303234,39.993036387313374
10,2,1,2,0,1,1,12,64.83581058592527,28.92638562787077
11,2,1,2,1,1,1,12,66.76622858046238,52.413126514760236
